Number,Summary,Score,Network
1Mi90UjG91rm73qvHzcG0t,Hi everyone. Welcome to ocbc insights. I'm Selena Ling Chief Economist for CPC bang today. I'm sharing with you about the feds emergency 50 basis point cut the fat unanimously cut the federal funds rate by an emergency 50-point citing a material change in the u.s. Outlook due to the covid-19 outbreak fed chairman Powell basically indicated that the virus and the measures that are being taken to contain. It will surely way on economic activity both in the US and abroad for some time. This came earlier than scheduled March fomc meeting but clearly illustrates. What we said about the FED being cornered in to a 50 basis point cut by market. The question that remains is where will the FED go from here? If you reference the G7 meeting of Finance Chiefs that actually felt to reveal more than verbal jawboning. So our senses look to the market reaction Wall Street quickly sold off while US Treasury bonds got an adrenaline boost. We saw the two-year you basically following 20.7 percent in the US and the 10-year treasury. You also dipping his toes to the 1% handle. VIXX is still hovering...,1,onemin
1MvUF45vxZB9gsbCzmyPqQ,This episode is brought to you by the completely reimagined 2024 to escape with Ford copilot 360 a suite of advanced standard driver assist Technologies. It's built to help you outsmart some of the obstacles you'll encounter out on the road. They're smart and then there's Street Smart the completely reimagined 2024 to scape. A chill blew through the Streets of London 1 August day in 1802 though the wind blustered in the shingles rattled outside. It was nothing compared to what was happening indoors inside a small dingy house on the outskirts of the city 52 year-old. Joanna South Kant was locked in a battle with a demon Joanna braced herself as she felt an evil presence enter the room. She'd been ordered. The Holy Spirit to sequester herself alone in a house so that she could speak with Satan a chill ran up Joanna spine as she heard an awful echoing voice At first she assumed she...,0,onemin
1N0Tj6vmrxfYWubS0eA0hj,"Please take your seats quickly this and gentlemen. Thank you. Ladies and gentlemen and welcome to the passing shot Novak Djokovic reign supreme in Dubai subba, Lanka Rises to the top in Doha and Maria Sharapova brings the curtain down on her career. Everyone and welcome to the passing shot the tennis podcast run by fans for fans with your host Jolan Kim today on the show. As always. We're going to be digesting the last couple of weeks on the ATP and WTA tours and having a look. Was been a very busy on and off Court period for the players we've had Kim clijsters returning Heather Watson's resurgent form in the season continuing and of course sharapova's farewell announcement as well. We'll throw in a bit of mysterious player and a few listener questions as well for good measure, so you're in for a treat this episode. We've got a lot of tennis to look forward to Kim but I feel like I feel like what's on my mind at the moment is all this uncertainty actually around the coronavirus. And is that It's giving us can affect the tennis season. Have you started wearing a mask yet Joel. I mean, I know it's Dreadful,...",1,onemin
1NF1JWmm9bOD4yiQIAiSrJ,"Welcome to the ostrich a podcast. I am hosting manual and I pray that the word of God you can seem to be dying light and it will be priced. This is episode number 12 to this word will be read from John 15 verses 9 through 17. As the father has loved me. So have I Loved You Now remain in my love. If you keep my commands, you will remain in my love just as I have kept my father's commands and remain in his love I have told you this so that my joy may be in you and that your joy may be complete. My command is this love each other as I have loved you greater love has no one than this to lay down one's life for As friends you are my friends. If you do what I command I no longer call you servants because a servant does not know his master's business instead of called you friends for everything that I learned from my father. I have made known to you you did not choose me but I chose you and appointed you so that you might go and bear fruit fruit that will last and so that whatever you ask in my name the father will give you the this is my command love each other...",1,onemin
1NJzwYilHc12Cn3P2hAkeL,"Good morning, Robin. Good morning. Good morning. Everybody. Welcome to our first episode you guys first official episode. Yes are the trailer is up on a few a few sites, but it's the first full one so welcome and I have a mic this time. It doesn't sound like I'm talking on a cell phone, you know across the world. So we're professional now, but she was not doing that. It just was a bad Mike. No, but my Sagittarius ass would have loved to be halfway around the world, but that's a story for another time. So you're ready to introduce ourselves. Yes, you go first girl. So I'm Ria from Berea the arcade on Instagram and my online which East or is mad. With Maria, I do spells and tarot readings for my amazing clients. I love my clients,...",1,onemin
1NR3nDeqb0dW7Vog00V5WJ,"Due to the graphic nature of this murder case listener discretion is advised this episode includes dramatisations and discussions of murder and assault that some people may find offensive. We advise Extreme Caution for children under 13 on an eerie, October 9th in 1961. Something wasn't right in Transylvania, Transylvania College in Kentucky. That is at 3 a.m. On October 27th some night owl. Owls in an all-girl dorm were transfixed by a woman wandering their campus. What is she doing? What if she sees us watching we should close the blinds too late. He's coming up the lawn. Please have you seen my daughter Betty Gale Brown? Oh mrs. Brown. I'm so sorry. I didn't recognize you the police were just here. I know she was studying here. But your house mother told me she left hours ago and I can't find her car and sit down. Mrs. Brown will make some tea and keep you company. No, I can't the police will find her any minute here. Take my hand. What go If you don't know where she is, I'll find Betty Gale myself. Before the sun rose. Mrs. Brown's daughter would be...",1,onemin
1OhV8h2qzqSTJsTbEoZ2g9,This audio book summary is brought to you by quick Read download our app today and get access to thousands of free book and audio book summaries on personal development productivity business and more listen to them while working out or commuting to work and get the key insights of books in minutes instead of hours. Go to Quick read.com app and download our app for free today. Summary of best job ever by dr. CK Bray written by Alyssa Burnett and quick read narrated by Jim D Johnston introduction when people ask you what you do for a living do you joyfully say I have the best job ever? Probably not right. In fact that answer wouldn't be true for most of us because the sad fact is that most of us don't really like what we do whether it's because we find our actual jobs boring stressful or generally dissatisfying or because our co-workers make our lives a nightmare many of us live for the moment when we're set free from the And when you think about...,1,onemin
1PB1QjdVvioF6k7YKBKkQZ,"Well, hello there dunder-mifflin nights and welcome back to the office ASMR a Sleepytime podcast in this week. We are on episode 13 of To this is the secret today. We have the episode directed by Denny Gordon and then written by. Gene stew Pinsky and Lee Eisenberg aired January 19 2006. So we are back in the mid-2000s right now and the premise of this podcast as I've said in my previous episodes is to just give you a narrated version of an excellent television show so you don't have to have your screen on and also, you know listening to other office podcasts.",1,onemin
1PDbp2SbU98zYd38Enu5tZ,We would like to introduce A New Concept here is we are visiting together on this leading-edge experience by saying to you that you really are the creator of your own reality and it would be fair to say to you blessed beans that you are you are in the process of creating most of you two realities contrast is causing you to expand and add to the reality of the greater Source. In other words. You are creating the reality of who you are as the eternal. Well being that you are and you are also in the process of creating the reality of how you feel right now this red hot minute and we want those realities to merge and the only way that those realities can merge is for you to come with us in other words because we're not going with you. We are not going to complain with you about the injustices of your world because we see them not we are not going to complain with you about shortages that do not exist. We're not going to complain with you with you about illnesses that are only Shadows where you have blocked the light from beaming into...,1,onemin
1QgWndnYGtv7EXi0UWYitW,"Hey Molly, Kaiser here. And you are listening to the art of empowerment podcast the art of empowerment podcasts or photographers who want to see a change in our industry who are ready to stand together to fight Society standards and become part of a community that elevates each other and makes a true and lasting impact on this world. Are you up for the challenge now? Let's get into the show. I'm here today with a special guest a treat if you will Bethany. Well, I've never called you Bethany best Ajman and I think I said your last name right? You did. Whoo. Welcome. Tell everyone. What's your business your business name? And yeah, let's start there. Hi, my name is Gus. Wake. Mommy said my business name is starboard editing and I do editing and retouching and also other services for photographers like Facebook advertising and blogging and some Just miscellaneous administrative stuff. Yeah, he does. I would say how many of our students do you think you do editing for? Oh good number. I would say at least a dozen probably to...",0,onemin
1RgnPIj7xYVWrVAgPrMk2e,"Thanks for listening to the derivative. This podcast is provided for informational purposes only and should not be relied upon as legal business investment or tax advice all opinions expressed by podcast participants are solely their own opinions and do not necessarily reflect the opinions of RCM Alternatives their Affiliates or companies featured do to Industry regulations participants on this podcast or instructed not to make specific trade recommendations nor reference pass their potential. Pets and listeners are reminded that managed Futures commodity trading and other alternative Investments are complex and carry a risk of substantial losses as such they are not suitable for all investors. Welcome to the derivative by our Sam Alternatives where we dive into what makes alternative Investments. Go analyze the strategies of unique hedge fund managers and chat with interesting guests from across the investment World. Alpha is a process for you. You're never arrived. It is the constant process of trying to be the right amount ahead of the curve. You don't you can't be too far ahead because in you just nonsense, but you can't just be thinking Making of things from from the perspective of where everybody else is thinking of them or you're not going to get different results. You have to be different...",0,onemin
1RjC39Ilch6rBJfFRBJMbj,"What's up, everybody Anton craley here from e-commerce lifestyle.com and welcome back to the podcast. So a big question that I get either via email or over on our YouTube channel is from people that are just getting started with their online store and they want to know what they actually have to get done prior to launch. So kind of the technicality is right and this is outside of how to pick a niche how to get suppliers how to get traffic all that stuff. You can learn more about on my free training over at Dropship webinar.com. I'll post a link to that in the the description by the way Dropship webinar.com, but once you know all that stuff and you kind of understand how to build the business then the question is, well, what do you actually have to get done before you make that website on Shopify before you contact your first supplier before you get your first sale? So I want to cover a business checklist in this podcast go over a couple different options you have and then let you know what I do and what I recommend so with that being said, let's go ahead and get into today's episode. Okay. So the first thing we should talk about Are your business formation options...",0,onemin
1RsgjqOAPQA3nisyjNhRXR,"We have to pay the bills, and if you guys have been thinking about starting your own podcast, let me tell you something. If you haven't heard about anchor is the easiest way to make a podcast. Let me explain it's free their creation tools that allow you to record and edit your podcast right from your phone or computer. They'll distribute your podcast for you. So you can be heard on Spotify Apple podcast and many more you can make money from your podcast. No minimum listenership. It's everything you need to make a podcast in one place. So download the free acre app or go to Anchored ifm to get started. Hey, do you want to join in on the excitement Live join me every Tuesday night 7:00 p.m. On the Chevy dude YouTube channel. If you can't make it check out your favourite podcasting platform at 6 a.m. Eastern time every Wednesday morning. This is beyond where you'll learn tips and techniques on the car buying process. Us how to get the best deal what stands to watch out for and much more here's your host and one of the foremost Automotive business experts in the country the Chevy...",0,onemin
1STy1PKd5MLtccOTCcuKNB,"Happy birthday, the weed tube. You're two years old. And I love you. This is fun to speculate a podcast where we speculate about wild and crazy ideas. And now here's your host Aaron Richard. Hi everybody Welcome to a brand new episode of fun to speculate. I'm your host Aaron Richard and sitting next to me is producer Vlad. Hi guys. I'm back. Well, yes you were sick last for the last episode. That's right. Yeah, because in the grand scheme of things we recorded it's actually been a while since we like sat here to do and episode 2 because we recorded so many episodes in like a three-day time span and we had a nice little break in between and now we have to catch up and record one like every week or schedule another week of insanity. That's okay though. I love this show. I love this show. I want this show. I hope everyone in the world listens to that's a little bit extreme, but, you know, I hope a lot of people enjoy it. I hope we keep the topics coming in good thought-provoking ways, and I just hope we always keep it entertaining for you. So, thank you. Listeners and viewers who have listened on all podcast platforms remember were available on Apple Google...",0,onemin
1SdguXlFBsxMcYtdPyh0oH,"After we got off the roller coaster Peter, you couldn't walk in a straight line. I was so dizzy. Yes, and then moving I came back with hot dogs for everyone. Oh, those hot dogs were so good man that day at the space amusement park is one of my favorite memories of all of us. And Lee was like hurry Franklin. You might want to cool with that funnel cake. We all know are you get what you have to watch funnel cake typically. Yeah, I definitely remember that because you're the only person I know who loves funnel cake more than I do Franklin. Yeah. Good old Franklin always doing his Franklin e things wait a second. Who's Franklin? This guy always with her. Hey, who are you? What are you doing? Why are you here? Thanks. Big lie. Do we know you Peter Peter Peter Peter Peter my dear sweet Peter. That is your name. I know it hilarious as always seriously. I don't think any of us know who you are dude. Come on, it's me Franklin, you know the other story...",0,onemin
1TicQO3vAuYoPoS3XZeL6y,"Oh, hello. Again, you're just in time for jumpers your morning and night toothbrushing show start brushing on the top of your mouth on one side and brush the inside the outside image showing sides of each tube, please. It's heroines week where every day we tell you about a real-life heroic woman from history tonight. We're talking about an incredible athlete and mom wait my mom. No, your mom's cool, but we're actually talking about an athlete named Fanny blankerscoon. Oh, okay. Yeah that makes sense. Fanny blankerscoon was a runner from a country called the Netherlands. Danny was a super talented athlete and her dream was to win. Gold medal at the Olympics the Olympics happen every four years and the best athletes from around the world compete. Switch are rushing to the other side of the top of your mouth and brush the molars in the back, too. Fanny's big chance to compete came in 1948 for the Summer Olympic Games by then Fanny was married and had two kids Danny told everyone that she wanted to compete...",1,onemin
1U91Mj3wx0CCYbh1yddg5y,"Really quickly, we recommend listening to this show on Spotify where you can listen to all of our favorite artists and podcasts in one place for free without a premium account Spotify has a huge catalogue of podcasts on every imaginable topic plus you can follow your favorite podcast. So you never miss an episode premium users can download episodes to listen to offline wherever and whenever and easily share what you're listening to with your friends on Instagram, so if you haven't done so already Ready, be sure to download the Spotify app search for Optimal Health daily on Spotify or browse podcasts in the your library tab. Also, make sure to follow me. So you never miss an episode of Optimal Health daily. It's another Q&A edition of Optimal Health daily episode 950 and I'm dr. Neal your host of the show. Welcome back to another special Friday edition of Optimal Health daily where I answer your questions on the other days, I read health and fitness blogs to you kind of like an ongoing audiobook but on Fridays, I do something a little special you send me questions and I answer them for you...",1,onemin
1UMDHZXjPuxIVnYyAS76fn,"Hey, baby, girl. It seems you been. Having a hard time sleeping. Why is that? You need me to help you relax. hmm I always kept telling you you have to really focus on. Not trying to stay up all the time, you know. It's good to be able to get rocked to sleep. You know that. I thought you might. You bet happy look on your face, you know. Come a little bit closer. baby, girl Feel more comfortable there. That's good. That's good. I wonder what do you think about when you can't sleep? Go. You think about what you want to do? That was safer right now. You did quite a bit today. Just good to relax a little. when you say I would say so. You rub your head, okay. Calm down. You need to rest. empty your mind did rubbing your head and back help relax you. hmm That is good to know. You've been really stressed out this week. He's been off everybody. That's why you have to relax. chill out breathe Focus there you go. You doing a little bit better there? Lean back some more. Oh. You want to lay on my chest? Really? I show you baby girl decide right now. That's okay, though.",1,onemin
1UxCFPxYRwTLwqKNbmKkRh,"There were two more murders 15 miles away arrived. They found will tell you there are hundreds possibly thousands of inmates sitting on death row who will probably die of old age before actually seeing an execution on March second 1984 a man was convicted for a double murder in Tennessee from the moment. He was arrested this man wanted the death penalty. He did not not want to grow old in prison and 34 years later. He got his wish so if you like your coffee hot, but your bones chilled sit back and start your day with a morning cup of murder. Edmund zagorski was born on December 27th, 1954 and spent most of his life in Michigan with no money a learning disability and a bad stutter at some point in his life Edmund made his way to Tennessee. Where on April 5th 1983. He met a man named John Dale, Dodson. John was a logger and the pair met on a trout farm where Edmund introduced himself as a mercenary named Jesse Lee Harden at some point Edmund...",1,onemin
1ViBONBXnAVV5K5cmSnPID,"There were two more murders 15 miles away arrived. They found will tell you how the investigator as reminiscent of a morning cup of murder. Sometimes it takes years to connect a Killers crimes a March 6th 1959. A man was born who would eventually be tried for the murder of a single woman. It would take years for police to connect him to four other murders years and a clever. A gator who got the DNA he needed. So if you like your coffee hot, but your bones chilled sit back and start your day with a morning cup of murder on May 6th. 1986 21 year old Tina Elizabeth. Kim. Brew was murdered inside of her, Texas Apartment. She had been suffocated by a pillow as the investigation began. Just three days later police got a phone call from a man threatening to It's suicide when they arrived this man, Ferry and Waldrop confessed to Tina's unsolved murder according to him. She reminded him of his ex-wife and that caused him to lose control and kill the young girl. Now this seemed...",1,onemin
1VqyL3ui763W5juwdtOl8u,"You're listening to the buying Graphics podcast. This is an episode that originally aired on YouTube. So the used to be a visual element. There is not any more. This is just for your listening pleasure. Maybe you're out walking the dog or driving the car where it's not so easy to watch the video version. This is why this audio version exists. If you like us doing this, please do leave us a review wherever your podcasts we really do appreciate it and let's get into this episode. So today's highly recognizable protagonist was hailed as a genius of entertainment a wizard of animation. A pioneer of technology and theme parks the influence of Walt Disney on today's popular culture and Collective imagination. It cannot be understated. You could love him. You can hate him or you can love to hate him but you simply cannot ignore his work Walt Disney once famously said that laughter is America's greatest export but well, it's not is actually travel and transportation with 236 billion dollars in sales in 2017, but sale of intellectual property including TV and movies. This amounts to 49 billion dollars, which...",1,onemin
1XplpPQ1jTNyiDWKzvtTV2,"What's up, everyone? I don't know if you're ready for this one, but here we go. So today came across something pretty special. Let's just make this one on. Becoming extraterrestrial and curing the uncurable. So this last week I decided you know, hey, I'll take a break. I'll watch a little bit of Netflix, you know. Oh, here we go. My favorite guide The Rock. He's got a new movie out. Hell, yeah, you know The Rock was always been my favorite wrestler since a young child mean my grandpa used to wrestle in the living and while we watch WWE, so the Can always been like a legendary character to my life, right? So he's got this new movie out Rampage in rampage this company energyne, you know, that's that's my solid memory right there for you at my super brain. Perfect recall anyways energy and they're doing experiments in space and shit goes wrong. Their rat turns into a giant monster kills everybody in the space station practically kills the girl going up to get the chicks or research. The chick is Bobby axelrod's wife from billions,...",0,onemin
1Yhi0Zw6i7apBTf1YsEkck,"What's good everybody? This is Mack Wilds from the guys next door and I'm here to tell you about our family what you guys the reason why you are listening to the guys next door. Anchor. This is a an amazing platform for anybody out there who is trying to get into the Pod casting room get your voice heard out there. So if you haven't heard about anchor it's it's literally the easiest way to make a podcast. So let me explain it's free. There's Creation tools that allow you to record and edit your podcast from your phone or your computer anchor will also distribute your podcast for you. So you can be heard on Spotify Apple podcast Stitcher wherever honestly and you can make money like I'm not even pushing you could really make money from your podcast with no minimum listenership. It's everything that you need to make a podcast literally in one place. So I'm begging you if you want to get into This game if you want to see how we do it if you want to be like the guys next door, make sure you download the free anchor app right now or go to Anchor dot f m-- to get started.",0,onemin
1ZoSdgRjZVVDrtaBpuQ3sm,"Welcome back to the sporting big and podcast subscribe whether you're listening on Spotify or whatever platform you listen to the sporting big and on. All right. So today I'm going to be talking about my predictions for the and we'll be considering opening day happens this month. So basically the MLB is in a really weird weird place right now considering the Astros just cheated their way into a World Series and it's possible that the Red Sox did as well. And I just I don't really know what to think at this point, but I'm gonna make my predictions for next year. so To put it lightly. I think that this season is going to be a turning point where you kind of takes hold because I think that teams are getting progressively better to where I think that they could either make a playoff push or just overall just not just make a playoff push, but just completely blow the doors off whatever convertible they're riding in. so I think I'm going to start in the AL then go to the NL. So I'm going to pick my division winners in my two wild cards. So in the AL...",1,onemin
1a8X3Df0CobqJNYPB4rCab,"Hi everyone. Welcome to the Laura horn art podcast. Richie is joining me again, and we are chatting about finishing a painting last week. We talked about getting started the painting that I talked about last week. I have finished and now I'm sharing all the tips and techniques and ideas that I use in my own Studio practice when I get to the finishing stage speaking of starting and finishing this podcast is brought to you by my online class layer by layer where you will see Me paint a large abstract painting from start to finish. So if you'd like to see that process head on over to Laura horn art.com forward slash classes click on layer by layer and don't forget to use the coupon code. The coupon is 20 in Feb 2 0 infe be and you will save 20% on that class up to the 19th of March 2020. So that's when the coupon expires. Hello Laura he going I'm very good. It's And you know, I love Mondays. It's crazy. Isn't it cute who would have ever thought that Monday would be just as good...",1,onemin
2WhmTkmk6Pf3MzOOfGShdx,"Before we get jumped into this first episode just want to shout out. Thank you so much for tuning in listening. We hope you like it. We hope you enjoy it. If you do, please leave a five-star rating subscribe to our podcast that will really help us out especially here in the beginning. We're trying to grow this thing. This first one really is just us talking about some stories going to get you, you know a feel for what we're going to be doing with this. We hope you like it. Also a big shout out to Eric case dude. Thank you so much for the software that you've recommended gotten us past our first couple of weeks of difficulties, but I think we're on the right track now also forgive us for the sound quality at the moment. That's something we're working on. We're we're learning. We're trying to figure out how to edit it and smooth everything out that's best for your ear holes so that you can enjoy the podcast as much as we do. Thanks for hanging out with us again. Like the podcast subscribe to leave that five star rating talk about how great we are in the comments. Thank you so much. I hope you all enjoyed. Oh, yes. Okay. So here's my story. So we go see the Invisible Man which its is a good...",0,onemin
2Xeg8BOxRCQMxQJNkRKNQg,"Welcome to the fire the Family podcast. Did you know the average Americans behind on their retirement savings imagine if your family could learn to budget save and invest enough to become financially independent. I'm here to show you through my own experience exactly how you can get on the path to financial Independence and reach retirement on or before the age of 65 from age 90. In 228 Kayla and I have been married for nine years had three boys and earn four degrees combined with no student loan debt and have taken our household income from zero to over a hundred and thirty thousand dollars a year. We both want to invite you to fire the family.com where we have free tools and resources that you can use to get started on your financial Independence Journey now, let's get into the episode. Hey, welcome to episode 26 of the fire the Family podcast. This is Nick. And as always thank you for being here today for listening to the podcast be sure that if you find this helpful at all, or if you just want to help the channel...",3,onemin
2XxwpvnMErxxv1gIE7kYn4,"What's going on everybody? Welcome back to the quickie. This is Luke and I'm going to talk about a Convent not really conversation. Let's talk about a statement from Brandi Love about her and her her husband's relationship whether it's an open relationship with that. I don't know how it will have fun. Alright, stay tuned. Welcome to the quickie and first before we get into the show, if you haven't heard about anchor before downloading it this time, it is the easiest way to make a podcast and I encourage you to make your own podcast. It's fun and it's free. It's free to download is free to be chord you talk. Anyway, you have conversations. Anyway, why not record it and make money while you're doing it. There are creation tools that allow you to record and edit your podcast right from your phone or your computer. Anchor will distribute your podcast for you. So I can be heard on Spotify Apple podcast and other locations you can make money from your podcast with no minimum. Listen listenership. Some places say you got to have a certain amount of distance before you can make money not with anchor. You can just download it record Point people to your podcast and start making money all that.",0,onemin
2Y8jc5V7n6TUyF5gFXzr5C,"Hey guys. I just wanted to take one second to tell you guys about anchor which is the platform. I used to make this podcast. If you haven't heard about anchor its easiest way to make a podcast and let me explain it's free. There's creation tools that allow you to record and edit your podcast right from your phone or computer. Anchor will distribute your podcast for you. So you can be heard on things like Spotify Apple podcast many more you can make money from your podcast with no minimum listenership, and it's everything you need to make a podcast in one place. So download the free anchor app or go to Anchor dot f m-- to get started today. Hey guys, welcome to another episode of Laguna Beach the podcast. Thank you so much for tuning in as always. It's your host Kelly. So excited to be here feel like I just sounded like Heidi like so excited but we got our finale of Love is Blind this past week, and I know there is a reunions coming up on Tuesday or Wednesday. I think or maybe Friday. I don't know one of these days this week, which I will also cover next week because Love is Blind has become my new obsession. I talked about it last week. I was just on the podcast...",0,onemin
2Y9ZsvPmmCBm2ae9GbcKQF,"Hey everyone. How's it going? It's been a while. I miss you guys. Hope you guys are all having a lovely lovely week so far now before this episode starts. I just want to give a quick announcement. So the title of this podcast is called catch open me at the time that I started this podcast. I thought you know, what like catching up with friends. Just talking about random stuff, you know catch up with me sounds like a good title. But then as I recorded the past few episodes, I've noticed something I started to figure out what the theme of this podcast should be. So if you know notice a lot of the things that we covered from the past few episode is about mental health growing up and things we deal with as a teenager or as a young adult. So with that said the new title of the podcast will be basically growing up. I finally figure out what the theme of this podcast should be. So basically growing up is going to be having guess hopping onto the podcast and basically having them share what they think is important for us teenagers and young adults to know what it's like going up on their side. Any difficulties faced while coming of age and you never know maybe some of their experiences could...",0,onemin
2YImecHJLfg0XXr5uqQQ0Y,"It's Alright Alright, welcome back guys the breakfast with the boys podcast. I'm your host any pain fucking livid right now and even I'm fucking pumped right now dude, I'm so pumped right now here with me. We have a we have g hi. Hey, how's it going? Man to back your job Mateo. Yeah, and he got Phillips. Hey, what's up? And then Gabriel Gomez going guys. Yeah, so we finally do what we have not slept this hard. Yeah, yeah. Oh, that's delicious. Really 8404 Lele Lele 84 on so brother and no Isaac world thinks happy birthday Brody. Happy birthday. So you could be on this podcast one day. Yeah. Yeah. Yeah, please please do it. Thank you. Thank you. All right, let's talk to our first segment weird scenarios. Okay guys our first scenario right would you? Yeah, okay say a speeding bullet train was coming and there's a lever right next to you. Right and you see ya if you pull the lever is switches the tracks, right?...",0,onemin
2YhkeuIWznFXfwPIPjNpIs,"Today's episode of the Hatchery podcast is brought to you by Luxor technology North America's largest mining pool lectures goal is to operate enterprise-class mining pools with professionalism and an intense customer focus. They provide a top-notch user experience and have a great selection of pools for you to mine to from a variety of notable altcoins to Big Daddy Bitcoin for which they launched their mining pool in October. So be sure to go and check them out. We are incredibly grateful that Luxor is chosen to sponsor the show going into 2020. We would love it if you as listeners would support the show by Ting them you can find them online at Luxor dot Tech and give them a follow on Twitter at Luxor Tech Team. Hey, everyone Thanks for tuning into the hash rate podcast the best crypto mining podcast in the history of the world on today's episode mean hash and I are joined by mr. Seth Estrada. We talk about building communities around proof of work projects. We talk about masternodes. We talk a little bit about Prague pal and mean hash has an epic rant on the inclusion of big Tech into the crypto space. So I hope you all enjoy this episode. If you would please leave us a rating. Being in review...",1,onemin
2Yqc6JVpmh4x6ttfyGJmH0,"Is podcast mechanically strong language guys thermal ho sakta Hai Sab reviews or comments participants kidney personal experiences or gut not grumper Authority podcast me. But I guess that's cool Gary research keyboard, press the Cuyahoga here, but you came a personal experiences guy is capoeira pushed. Nahi Kiya Jessica is podcast go pootie sensitivity case on page Carnegie, such he coaches Keegan the views and opinions discussed in the podcast. Do not reflect the views and policies of Spotify or the producer and curator of this podcast listeners discretion is advised you cut with Erica Nene in God Amy. Otto have but without a doubt any direction the OTA a re-election hota Hai but sexually feeling you orgasm with a walker Gable. Oh, he dropped below severe Katrina as he gets worked. Well tahina, I've got some transgender. Ski sexuality Guevara me I deserve all hey tofu steak uni Spotify Originals presents data Ali the life of a transgender hosted by a proud Hydra for the hunt. In conversation with our pain of nagar conceived and curated by Shamir Tandon. Hi Murphy de are you had a tally...",0,onemin
2ZXgyKhQTtNbW0FR27AJFx,"Hello and welcome to the first episode of sisters in conversation. I'm your host development Ronnie. I am the founder of a platform called sister-in-law, which is a platform dedicated to empowering women through legal education. Thank you for joining me for the first ever episode of sisters and conversation. I have with me or a leotard ceiling Milo. She's a corporate legal counsel by profession who recently resigned from a boutique investment and Alton see company based in sandton. She's a skilled in-house legal counsel who's day-to-day duties and through drafting vetting and reviewing a of contracts as well as attending to any legal governance matters for the organization. She's abiding social entrepreneur co-founder of the probation was done and lead in legal at yeaa, which is a non-profit company established to drive the development and advancement of Youth entrepreneurship. She's an admitted attorney. Sorry. She's an a Admitted advocate of the high court of South Africa who believes in passing the Baton in order to impart what we know the work. She does in relation to the profession...",1,onemin
2a1FiJixYsXIV7iiW6USsm,"Welcome to dictionary.com word of the day. It's March 1st in our word of the day is habitually spelled h ABI Tue with an acute accent mark over the eat despite its french-sounding pronunciation. You may actually know the meaning of this word. Even if you haven't heard it before that's because it sounds like and is related to a handful of other common words in English, including habitual habituate and have it It's a noun meaning a frequent or habitual visitor to a place as in the aspiring painter was a habitue of art galleries habitue is often used for someone who frequently visits places of recreation or Amusement such as pool rooms bars or used bookstores. Are you a habitual way of word of the day? We hope so see you tomorrow for another word of the day. Welcome to dictionary.com word of the day. It's March 1st in our word of the day is habitually spelled h ABI Tue with an acute accent mark over the eat despite its french-sounding pronunciation. You may actually know the meaning of this word. Even if you haven't heard it before that's because it sounds like and is related to...",2,onemin
2aTnF7mLdGbvvKfSP7I27P,"Yeah, the deus ex machina and there's a smoky no more like hahaha. They literally named it. The deus ex machina. Yeah, it'll save us. Yeah. Hey everybody. Welcome back to Anam a summit podcast. Try to Beth better spaced apart my words because Nick was saying I was talking too fast. Anyway, welcome back to the enemies seven podcast. My name is Sam and with me is Danny. What's up guys and space Nick. We mean space Nick space Patrol Luke. Oh Nick or something. Oh, I should have I fucked up fucked up cuz it's trigger some nikla neck. There we go. There we go. Nick Clinic. You know what? What do you suppose has stopped? What's with all the trigger references? Let me tell you why because we are finally talking about Pro manner. Late to the party late to the party really late to the party. That's because it didn't come out yet until it's still not out, but it's on pirate sites so you can find it there now not that that's what we did. It was out. It was in theater. Yeah for like a day, but then we could make it in. Yeah I missed...",0,onemin
2aYfoNO3ia6i1s3k1ZhDwt,"Sunday seems to be our day where we really try to get our act together before the work week. It includes the kids because we really enjoy our time off on Saturdays and Sundays as a family and we just got a lotta things that we tend to do on the weekends. We're busy but Sunday, especially given against towards the evening as like look kids. Do you have any homework what needs to be done for tomorrow? Get your clothes out clean your rooms. Let's start packing lunches. Etc it's it's just a reminder that we gotta get back to work and school tomorrow morning. I like teasing my kids at this time because it's a i you guys. I know that school is your favorite. You guys can't even wait to go back and like know I hate school. I don't think they really do like I think they like to see their friends. But yeah schools work and their you're not in kindergarten anymore, right? We got through versus third grade. You actually got to learn stuff. There's always that moment on Sunday. I'm going to start winding down towards the end of the day that you know, what tomorrow's comma got to prepare mentally...",0,onemin
2bA3SdEDHSWpbpX4BL5TUf,"well, hello guys, welcome to the first episode of the haven't we thought of a name yet? I was want to do breakfast at Perkins given my last name kind of lame. But but then I was told that people may think that breakfast at Perkins. Could have some potential copyright with you know, the actual restaurant program, so I might do breakfast with Perkins. I don't know. Anyway, how we doing? How's everyone doing? I figured I would start a podcast. Maybe to help kind of supplement my thoughts that I have on other social media platforms whether it be Snapchat Facebook Instagram. What have you first let me apologize. I just ate Indian food and it's stuck in my throat. First off. Let me give a shout out to India star. You never been to India star phenomenal food. Phenomenal phenomenal phenomenal Buffet you go there between the hours of what is 11:30 and 215 get yourself an all-you-can-eat Indian buffet and it's like 8 bucks its cheapest fuck kitten calm down. But yes. So I figured that if you've if anyone's ever listen to Bill Burrs podcast or just him rambling on about random shit with no really Rhyme or Reason as to what's going...",0,onemin
